NOM_AGENT	VERBE	NOMINALISATION	pVbAg	pVbAc	pAgAc	LABEL
acclimateur	acclimater	acclimatation	0.1416984366368481	0.4293927173341434	0.34045138382067186	pVbAc
aléseur	aléser	alésage	0.474379127339469	0.3132561906202928	0.43103114826803285	pAgVb
blanchisseur	blanchir	blanchissement	0.14834547058446626	0.46656892957934687	0.11151308286724987	pVbAc
blanchisseur	blanchir	blanchiment	0.14834547058446626	0.5569898004914793	0.12780158289701984	pVbAc
cambrioleur	cambrioler	cambriolage	0.5067460625480897	0.6092382363235604	0.5523685495489878	pVbAc
cambrioleur	cambrioler	cambriole	0.5067460625480897	0.46625059993583423	0.5588909853709568	pAgAc
chanteur	chanter	chantage	0.5325070755722198	0.03339511554981111	0.08142577503950213	pAgVb
chanteur	chanter	chant	0.5325070755722198	0.573583797383361	0.42495745277698704	pVbAc
coiffeur	coiffer	coiffage	0.23915680530173009	0.3078578353001518	0.256137353991559	pVbAc
démarcheur	démarcher	démarchage	0.48039746334067196	0.4342591220740994	0.4330061209976741	pAgVb
démarcheur	démarcher	démarche	0.48039746334067196	0.37642220118020214	0.18053927720687724	pAgVb
déménageur	déménager	déménagement	0.017596685480539775	0.5623349068568839	0.01644105970609666	pVbAc
élaborateur	élaborer	élaboration	0.12701606524308548	0.5815084330568009	0.17126524715788471	pVbAc
exorciseur	exorciser	exorcisation	0.34130800435426856	0.4091622791295829	0.20630092940110814	pVbAc
exorciseur	exorciser	exorcisme	0.34130800435426856	0.5330978191687454	0.32026740047769775	pVbAc
ferrailleur	ferrailler	ferraillage	0.36247468285604106	0.5685444469408402	0.33067531573261666	pVbAc
gribouilleur	gribouiller	gribouillage	0.1686672735346997	0.31226771738022396	0.14357493306964486	pVbAc
gribouilleur	gribouiller	gribouillis	0.1686672735346997	0.4938012140088073	0.2041779295501108	pVbAc
habilleur	habiller	habillage	0.3720406275143879	0.23815735847312047	0.30502262092920507	pAgVb
habilleur	habiller	habillement	0.3720406275143879	0.4272200692407774	0.37275524322912795	pVbAc
illustrateur	illustrer	illustration	0.3156656853691034	0.5291402862042796	0.5106943311881333	pVbAc
jeûneur	jeûner	jeûne	0.4987560197338897	0.7495321565838593	0.4779779689109307	pVbAc
kidnappeur	kidnapper	kidnapping	0.6252956746230762	0.5690783715115445	0.6273787757060925	pAgAc
laboureur	labourer	labour	0.4740354578450682	0.6157074598716696	0.3428658321745739	pVbAc
laboureur	labourer	labourage	0.4740354578450682	0.5490203511171547	0.3824618108986494	pVbAc
lutteur	lutter	lutte	0.05815029543319412	0.7149108921434874	0.19369156652264005	pVbAc
magnétiseur	magnétiser	magnétisation	0.26966672814330594	0.4945302799982016	0.1056845220861355	pVbAc
maquilleur	maquiller	maquillage	0.354487487150148	0.44687264570806146	0.624845991048694	pAgAc
narrateur	narrer	narration	0.4895074494728344	0.36247919907443893	0.569571834636646	pAgAc
outilleur	outiller	outillage	0.20240286957979825	0.13594416518775201	0.5570483844336933	pAgAc
penseur	penser	pensement	0.27483377606689424	0.08135362048851609	0.09314002010631527	pAgVb
penseur	penser	pensée	0.27483377606689424	0.28199679878286954	0.6564617696502895	pAgAc
raccommodeur	raccommoder	raccommodement	0.448365347055409	0.09582695757832976	0.14629866496903474	pAgVb
raccommodeur	raccommoder	raccommodage	0.448365347055409	0.42847634058271594	0.4983825385697171	pAgAc
souscripteur	souscrire	souscription	0.3374142085621613	0.2565726096509358	0.547006186877447	pAgAc
tatoueur	tatouer	tatouage	0.2668391420736424	0.6128532310832453	0.5334636931066735	pVbAc
usurpateur	usurper	usurpation	0.46853791733493033	0.6887844455661721	0.6032065620766471	pVbAc
vendeur	vendre	vendition	0.4052352499895699	0.06685491312903821	0.17416330173930306	pAgVb
vendeur	vendre	vente	0.4052352499895699	0.515068442579806	0.47633787113763326	pVbAc
vulgarisateur	vulgariser	vulgarisation	0.5104829341348378	0.7227957200658973	0.5566702522053547	pVbAc
zingueur	zinguer	zingage	0.3240865366308399	0.520665987432204	0.36326629190605764	pVbAc

