NOM_INSTRUMENT	VERBE	NOMINALISATION	pVbAg	pVbAc	pAgAc	LABEL
aérateur	aérer	aération	0.41255796822365187	0.6654897055361325	0.5818264286516197	pVbAc
alternateur	alterner	alternation	0.04051208459519538	0.4032422431062261	0.14143120026983985	pVbAc
alternateur	alterner	alternance	0.04051208459519538	0.6266526066497029	0.21527256089641666	pVbAc
alternateur	alterner	alternat	0.04051208459519538	0.2319090739976297	0.30860868614269715	pAgAc
carburateur	carburer	carburation	0.32570740462670433	0.4546887574787693	0.6562494441976777	pAgAc
centrifugeuse	centrifuger	centrifugation	0.5940508375016734	0.6524904272710631	0.6555110417266804	pAgAc
cintreuse	cintrer	cintrage	0.48426857913286964	0.4816244858160774	0.5225032498482756	pAgAc
coupleur	coupler	couplage	0.47108423324561377	0.5789808581653462	0.7025794651194577	pAgAc
cuiseur	cuire	cuisson	0.392055378332708	0.6423777402251487	0.44774688161800785	pVbAc
cuiseur	cuire	cuite	0.392055378332708	0.7949278288490311	0.300683794848504	pVbAc
décapsuleur	décapsuler	décapsulage	0.5565765691871369	0.21190705825955555	0.2782237953102273	pAgVb
dérailleur	dérailler	déraillement	0.2345078327616114	0.7477373326599365	0.25502467938259843	pVbAc
électrolyseur	électrolyser	électrolyse	0.42467423513341573	0.6144713990650458	0.5308639240703444	pVbAc
émulseur	émulsifier	émulsion	0.5697249660204894	0.6200586553293124	0.5107801274007887	pVbAc
ensileuse	ensiler	ensilage	0.43154996708368465	0.7320244102580722	0.406792702860144	pVbAc
friteuse	frire	friture	0.40887838955016886	0.7265302449664738	0.5911456905247469	pVbAc
friteuse	frire	frite	0.40887838955016886	0.6885416823513603	0.5281451245941394	pVbAc
gazéificateur	gazéifier	gazéification	0.49227454773855606	0.6131775455663013	0.5332670576853604	pVbAc
héliporteur	héliporter	héliportage	0.39383790146408976	0.6085160095768005	0.18940273785428438	pVbAc
horodateur	horodater	horodatage	0.19299501499675314	0.4048762154308202	0.5762580301669034	pAgAc
horodateur	horodater	datation	0.19299501499675314	0.010837627099354345	0.009142846105796692	pAgVb
incinérateur	incinérer	incinération	0.40822511456018956	0.49058494878829884	0.6621967997835025	pAgAc
ioniseur	ioniser	ionisation	0.4620626512435659	0.7394491341373063	0.49065929215570664	pVbAc
liquéfacteur	liquéfier	liquéfaction	0.30208773171945275	0.6026415374630602	0.4726241530675366	pVbAc
mitigeur	mitiger	mitigation	0.0226431103941671	0.08115450164629565	0.2435933744803871	pAgAc
obturateur	obturer	obturation	0.5260351008070768	0.46514286320186293	0.6587905974060642	pAgAc
pelleteuse	pelleter	pelletage	0.4529233633703506	0.25392232541629933	0.2197079549491366	pAgVb
photocopieur	photocopier	photocopie	0.5655115831373708	0.7320035299668249	0.6628404780166303	pVbAc
réfrigérateur	réfrigérer	réfrigération	0.6933347546210251	0.6685360178504534	0.5907992441672887	pAgVb
refroidisseur	refroidir	refroidissement	0.5403616412983422	0.7656377674445681	0.6459774107689009	pVbAc
sulfateuse	sulfater	sulfatation	0.32473664175669836	0.6684863843436971	0.37765904095336117	pVbAc
surligneur	surligner	surlignement	0.11584532433030378	0.5445309905148235	0.18146322440740875	pVbAc
surligneur	surligner	surlignage	0.11584532433030378	0.5936169720402587	0.20970675137235345	pVbAc
tabulatrice	tabuler	tabulation	0.25283537997851746	0.4035871242048938	0.41739069586211075	pAgAc
vaporisateur	vaporiser	vaporisation	0.45077870177197565	0.5625027656427365	0.5417761177273862	pVbAc
ventilateur	ventiler	ventilation	0.5516874167338249	0.5946985748752713	0.7217705847020132	pAgAc
