NOM_AGENT_INSTRUMENT	VERBE	NOMINALISATION	pVbAg	pVbAc	pAgAc	LABEL
abaisseur	abaisser	abaissée	0.3380099178666291	0.20886841147372165	0.3038828980428583	pAgVb
abaisseur	abaisser	abaissement	0.3380099178666291	0.6380829421558208	0.29610672602869054	pVbAc
abatteur	abattre	abattage	0.03985152587864231	0.2930102156124856	0.3929075029244142	pAgAc
abatteur	abattre	abattement	0.03985152587864231	0.02361310380676167	0.06075999893761447	pAgAc
abatteur	abattre	abat	0.03985152587864231	0.5212831618226396	0.2308714964493295	pVbAc
abatteur	abattre	abattis	0.03985152587864231	0.3068222584427216	0.1757402874916456	pVbAc
abatteuse	abattre	abattis	0.010677679856686887	0.3068222584427216	0.2615526658017381	pVbAc
abatteuse	abattre	abattage	0.010677679856686887	0.2930102156124856	0.14490046406491774	pVbAc
abatteuse	abattre	abat	0.010677679856686887	0.5212831618226396	0.16094327555532353	pVbAc
abatteuse	abattre	abattement	0.010677679856686887	0.02361310380676167	0.1463098001737746	pAgAc
abordeur	aborder	abord	0.06981765752528152	0.05550973805723834	0.04676108425817071	pAgVb
abordeur	aborder	abordage	0.06981765752528152	0.09529339417430553	0.41269367925612355	pAgAc
aboyeur	aboyer	aboiement	0.3515606204079363	0.6208689066473315	0.4100787305548308	pVbAc
abréviateur	abréger	abréviation	0.1422437356400672	0.47405030409160415	0.23219886608392634	pVbAc
abréviateur	abrévier	abréviation	0.06503326739533451	0.0735994808124878	0.23219886608392634	pAgAc
absolutrice	absoudre	absolution	0.14728156065573503	0.6550516404444212	0.2677579073559154	pVbAc
absorbeur	absorber	absorption	0.30030336025095855	0.5819584837990589	0.48436500790469994	pVbAc
abstracteur	abstraire	abstraction	0.3073512629572213	0.7536004595266087	0.19481721742929825	pVbAc
abuseur	abuser	abusement	0.39116365862517577	0.1691511384596796	0.07982893956752184	pAgVb
abuseur	abuser	abus	0.39116365862517577	0.5946888543273442	0.43807326148352915	pVbAc
accapareur	accaparer	accaparation	0.37024930865103706	0.26045198818670684	0.08062212940846407	pAgVb
accapareur	accaparer	accaparement	0.37024930865103706	0.5541447441593419	0.5419330911267618	pVbAc
accélérateur	accélérer	accélération	0.27501442632702167	0.5293591877893298	0.5459009423320138	pAgAc
accepteur	accepter	acception	0.04131997967688442	0.04288790270322225	0.16451733649891212	pAgAc
accepteur	accepter	acceptation	0.04131997967688442	0.5592909101640998	0.18154320782216454	pVbAc
accesseur	accéder	accession	0.010759929346423853	0.5765844637565196	0.05139137638696532	pVbAc
acclimateur	acclimater	acclimatation	0.1416984366368481	0.4293927173341434	0.34045138382067186	pVbAc
accompagnateur	accompagner	accompagnement	0.4005052471864658	0.3455365144592682	0.5146678157952126	pAgAc
accordeur	accorder	accord	0.005700732904901186	0.17533830672507553	0.03529333448242695	pVbAc
accordeur	accorder	accordement	0.005700732904901186	0.15300554907433084	0.3729254341767811	pAgAc
accordeur	accorder	accordance	0.005700732904901186	0.03757609970448409	0.03672102658697338	pVbAc
accordeur	accorder	accordage	0.005700732904901186	0.014452179044584868	0.5346892542404574	pAgAc
accoucheur	accoucher	accouchement	0.2675129714259535	0.5427236190988753	0.38025513509053677	pVbAc
accréditeur	accréditer	accréditation	0.18557957921905516	0.49651578739163693	0.3263334069219335	pVbAc
accrocheur	accrocher	accrochage	0.2711067608279228	0.2913637063562002	0.08420105370092808	pVbAc
accumulateur	accumuler	accumulation	0.17149341058790846	0.492302147080872	0.34723875041643265	pVbAc
accusateur	accuser	accusation	0.4629660394486413	0.5855090742148085	0.6184323500291827	pAgAc
acheteur	acheter	achat	0.33924119410639025	0.5506301149192515	0.6071703434161446	pAgAc
acquéreur	acquérir	acquisition	0.23522403767528774	0.5071883590701932	0.37674460005481203	pVbAc
acquéreuse	acquérir	acquisition	0.16992849780138763	0.5071883590701932	0.21730533736466592	pVbAc
acteur	acter	acte	0.14630133213502214	0.1130009051680176	0.003959498699024556	pAgVb
acteur	agir	action	0.02399916377797994	0.05131556315244273	0.13466252870386705	pAgAc
acteur	acter	action	0.14630133213502214	0.06482886925659018	0.13466252870386705	pAgVb
acteur	agir	acte	0.02399916377797994	0.07646578705691813	0.003959498699024556	pVbAc
actionneur	actionner	action	0.5912382668417066	0.1486307466367339	0.283134480830696	pAgVb
actionneur	actionner	actionnement	0.5912382668417066	0.6853686792941496	0.6985606925511878	pAgAc
activateur	activer	activation	0.5117370037293965	0.699784618711842	0.678327507514818	pVbAc
actualisateur	actualiser	actualisation	0.10881395058492331	0.592229744352658	0.2551023853629981	pVbAc
adaptateur	adapter	adaptation	0.3159615706404868	0.5156491920547265	0.35156884227755286	pVbAc
adaptatrice	adapter	adaptation	0.10344507079781734	0.5156491920547265	0.3009380309733238	pVbAc
adapteur	adapter	adaptation	0.1862252865619893	0.5156491920547265	0.14410993139673825	pVbAc
additionneur	additionner	addition	0.3530478293344463	0.5820925550777476	0.36754609343928524	pVbAc
additionneuse	additionner	addition	0.20890049304874317	0.5820925550777476	0.2852420983379138	pVbAc
adjudicateur	adjuger	adjudication	0.14562170844695255	0.13011028224401122	0.3530580809062471	pAgAc
administrateur	administrer	administration	0.4109576597423146	0.501393792752387	0.5377967005922556	pAgAc
administratrice	administrer	administration	0.005260160339679884	0.501393792752387	0.04929573633413012	pVbAc
administreur	administrer	administration	0.07341989824802872	0.501393792752387	0.05149078334781158	pVbAc
admirateur	admirer	admiration	0.4859446123111299	0.5187400399671639	0.6328937399599424	pAgAc
admoniteur	admonester	admonition	0.012999086084525702	0.19719404696196502	0.021555966529164767	pVbAc
adorateur	adorer	adoration	0.4762123798971386	0.2837283658748197	0.5342551611734923	pAgAc
adoucisseur	adoucir	adoucissement	0.023189860136234988	0.5332375514418392	0.2501083685685032	pVbAc
adulateur	aduler	adulation	0.3991280410772476	0.39719323658617667	0.398826153402696	pAgVb
aérateur	aérer	aération	0.41255796822365187	0.6654897055361325	0.5818264286516197	pVbAc
affabulateur	affabuler	affabulation	0.3458674155239213	0.34485663540724387	0.531179229732606	pAgAc
affameur	affamer	affamement	0.2603374300495405	0.11622324778501537	0.19476430234892098	pAgVb
afficheur	afficher	affichage	0.40499393670821626	0.5246113136890153	0.6014436282229485	pAgAc
affineur	affiner	affinage	0.13565064321766274	0.5046771941491571	0.3387022761911612	pVbAc
affineur	affiner	affinement	0.13565064321766274	0.5119336414046348	0.030843651467728085	pVbAc
affréteur	affréter	affrètement	0.4970994250527747	0.5392584793749441	0.6769376379960635	pAgAc
affûteur	affûter	affûtage	0.12429782337707074	0.5712962890605902	0.26125228185461746	pVbAc
agenceur	agencer	agencement	0.09162087389281531	0.5195393011628763	0.06947153790329415	pVbAc
agitateur	agiter	agitation	0.2770903223229473	0.5079704801209657	0.4626963267666237	pVbAc
agrafeur	agrafer	agrafage	0.4325618825197805	0.40651636530812424	0.6014737565814042	pAgAc
agrafeuse	agrafer	agrafage	0.20735894721150655	0.40651636530812424	0.42701477408374033	pAgAc
agrandisseur	agrandir	agrandissement	0.0033946309645311173	0.624646864632039	0.04383938199461228	pVbAc
agrégateur	agréger	agrégation	0.02301745117556039	0.634057842833106	0.11866684128193591	pVbAc
agresseur	agresser	agression	0.48632554718528503	0.4535020440586993	0.6583952890441715	pAgAc
