CANDIDATE	-eur ANs	G/P HNs	Rel. HNs	Demonyms
bibliothécaire	0.40338102176362634	0.25965531349466714	0.34116506086254356	0.1675098346092303
gestionnaire	0.3662560279260796	0.12132621106502302	0.07166848011552975	0.09829524607902115
libraire	0.42895888571722185	0.3628067370125397	0.30926621325101145	0.058332191727755923
manutentionnaire	0.43475719858833106	0.3403728185364886	0.20824407648394488	0.09953292044717951
stagiaire	0.424542266512573	0.33983264651860573	0.25698268144567127	0.03046932596588502
diamantaire	0.4596081299056235	0.355529818019127	0.27981451093536314	0.02106927920554528
pamphlétaire	0.24935589589442103	0.22016878906756848	0.16357092680891877	0.13926303453249686
antiquaire	0.40310183716943504	0.2860678682010974	0.2820014049330193	0.0120371790357915
contestataire	0.40446375234072807	0.39086711648585115	0.21037791086396593	0.04081321874139896
tambourinaire	0.44571135580274757	0.4301631469368773	0.23315689035497456	0.08150600814867924
commanditaire	0.5112597398143618	0.3145052604102553	0.5374097957015165	0.16907524036843807
incendiaire	0.4443235884450939	0.4317317196979372	0.23024780256977645	0.09423184762727597
plagiaire	0.33990871885885854	0.3278250976816003	0.25120344381487814	0.05415891600183105
retardataire	0.4383579767579343	0.3996504790649813	0.20625528215109262	0.2328477880790893
signataire	0.20163224479544578	0.027231918509361346	0.15810607007138444	0.21280022832067075
décisionnaire	0.2927473633442755	0.0839890931677156	0.13731741836045006	0.04179338078058143
expéditionnaire	0.3487523189827682	0.07233399766493287	0.07425239367739352	0.011512804261311958
factionnaire	0.4558789509953772	0.3438665972570939	0.2316199362110555	0.09727538225313145
intérimaire	0.3703912020221499	0.2310999677717121	0.17769769376280878	0.02098346608575179
concessionnaire	0.397066165022388	0.17017691531169232	0.2181397045602838	0.14251267258669204
