CANDIDATE	-eur ANs	G/P HNs	Rel. HNs	Demonyms
apprenant	0.3277171615953497	0.39533625064493233	0.18637569111674468	0.07105876124513977
assistant	0.4050742125043943	0.25938351057231807	0.4888002370571852	0.0214590966564774
attaquant	0.5385793196228605	0.2557117515026943	0.2369987506053933	0.38253173408770924
combattant	0.599941412374478	0.42790941714553454	0.25632527674913663	0.32983734274844834
communicant	0.33567867185768485	0.31136444433069527	0.14500965132325797	0.18113524730307257
dirigeant	0.5482617907409792	0.2630438761983793	0.3734536322648133	0.3201420900244312
enseignant	0.4241418458052653	0.4100006087561531	0.2900875887031482	0.11716266304710501
exécutant	0.49995455235528113	0.39207063360808375	0.2716138009440204	0.040968323611274754
fabricant	0.506082830863705	0.1608110299374073	0.13716905444317556	0.06272229559516114
intervenant	0.4586405585096432	0.3650666262484933	0.16962292538350965	0.012352248970984931
manifestant	0.33192024988948077	0.384758370168661	0.08724563134771073	0.058971026608174194
mendiant	0.44663955168628666	0.6878635486437299	0.4057717906402053	0.034637260971650444
militant	0.4482279358919767	0.40958238733773705	0.3174607053974885	0.04572578415827779
négociant	0.44694549499519853	0.3266643910210122	0.3427223134078125	0.02701976060069202
poursuivant	0.3149658145429911	0.27852570269140753	0.3818554549162204	0.34967100554806685
plaignant	0.3877966457472205	0.3509623142873653	0.249276956021305	0.10199973909058668
surveillant	0.4667152378877269	0.48885074923749344	0.3273686400877366	0.031161016441901827
trafiquant	0.5573781298658149	0.41887539481765046	0.3005244595707284	0.14921529473367018
récoltant	0.1727094583075092	0.05632805281041179	0.03229784744874743	0.20433840700183695
gouvernant	0.38194868690602984	0.2437301235383138	0.26289437876941685	0.16391838488592006
