CANDIDATE	-eur ANs	G/P HNs	Rel. HNs	Demonyms
autostoppeur	0.43445944091143157	0.5757215827736843	0.4089157732692666	0.09055579165027423
avionneur	0.40811683772802426	0.1150369792826668	0.13147752947536012	0.05616525906376133
basketteur	0.33558502394216594	0.15095821367744186	0.19783184184304542	0.1749968669592247
bienfaiteur	0.4013912117080654	0.45204900033490364	0.6366289790044993	0.08031875619477968
corailleur	0.06692463830483923	0.03406034156205441	0.06296194003970412	0.08088299362234454
féticheur	0.3839191533449264	0.34821790210606857	0.2626264642957221	0.1395454557065212
footballeur	0.36554578839429064	0.13159204372734484	0.14461794385077495	0.2757912587356904
freestyleur	0.20906649232134616	0.014624344961736974	0.04079511049249367	0.2707995174087252
houilleur	0.27903965935738984	0.4092481012186922	0.22326585909191193	0.07146723460498519
pupitreur	0.25676857130520714	0.2080083828099256	0.07640069601390818	0.07116006596800672
précepteur	0.4124652608394599	0.4441779333236357	0.675636712247597	0.04429006344157216
rockeur	0.322227801412801	0.3092866953514191	0.20928302185296319	0.06954193183973065
rocailleur	0.2910478972914864	0.1683535942733981	0.08870996310284417	0.03854244291696518
navetteur	0.20312088987758464	0.24203490933642816	0.051394179870277154	0.037284862943795696
zélateur	0.40986113011343717	0.38883657115499776	0.31701134312921336	0.09024624345338492
mareyeur	0.45528532725735416	0.36441548356188375	0.23788763737681923	0.08272237654497963
indienneur	0.34548758243038846	0.1935898685379754	0.1866672464250115	0.12291887126771697
raquetteur	0.20351720565881015	0.11405248162528028	0.06761585636988673	0.10416021196768965
hockeyeur	0.28235426017022985	0.1398847359108923	0.12058521742084045	0.09010439447178506
hardeur	0.33849901580320135	0.30923111686871696	0.18112814537302135	0.04767330145109455
