CANDIDATE	-eur ANs	G/P HNs	Rel. HNs	Demonyms
physicien	0.42329329063395915	0.19515069176509053	0.2344220171765346	0.02568068446293138
chirurgien	0.5590481705128674	0.4176475192014267	0.40821483366955136	0.0652007871877857
collégien	0.35473689204686937	0.633907886417328	0.2855192305823176	0.02187314359458742
diététicien	0.37076689796127965	0.389414791282252	0.16910502855082107	0.15162857363811336
électricien	0.5055018267040025	0.2821188396265737	0.21953628182818669	0.1151822790858918
marathonien	0.5204595155916137	0.2997546373353061	0.17262990536575912	0.331595576168079
pharmacien	0.503601035249839	0.42064133291715156	0.3981401267134627	0.0654733900079841
musicien	0.5383857207609428	0.4389891727979922	0.3966022540527129	0.010805508902714391
mécanicien	0.577652813652705	0.3728660105404115	0.3813576906229561	0.04686040376691735
statisticien	0.43739077924562186	0.1998222897608874	0.06747850617014377	0.08519713505143253
informaticien	0.5144051285213035	0.32449981090068886	0.19977333935395872	0.0934848164345383
historien	0.47717763150284426	0.2650397198978144	0.2943795436535354	0.027248521909902262
comédien	0.5146534079073865	0.491553232285039	0.47139248058846644	0.009776802584506535
technicien	0.550842552340155	0.3125296281318755	0.11965799434570476	0.06276318368601055
politicien	0.47917354344483015	0.31668762411767487	0.2946789573799295	0.028830858653148855
plasticien	0.4292589292629989	0.2066645719877518	0.1452641227402606	0.04861883803370137
cartomancien	0.3908103704959887	0.4625225975864109	0.4351776441356545	0.029607737883738678
galérien	0.42710225583023576	0.46822927508591405	0.30831540205344865	0.013488589985099886
grammairien	0.41258902491876503	0.28242686988812155	0.2345559714425431	0.016797267604161014
praticien	0.5460657738308388	0.42625661990808866	0.21405942055043553	0.055197362618332135
