CANDIDATE	-eur ANs	G/P HNs	Rel. HNs	Demonyms
archer	0.5701371810002193	0.36873274093559316	0.2509142661515987	0.26338867621338746
ambulancier	0.5112118319909729	0.49593435035485245	0.27720144069339014	0.06571060413433685
artificier	0.6205536493883193	0.38026941785587337	0.23678781290799775	0.11111123283689286
braconnier	0.5415932718063835	0.5663004240814697	0.3548766706891763	0.1279598326429487
caissier	0.4243533287436473	0.45602138518202606	0.45362270421740314	0.05345127901535929
chocolatier	0.4728314605291891	0.2934041762950026	0.3066988731008815	0.0729515366666352
fermier	0.5163554172331835	0.5105613542246419	0.35387827166922076	0.0883464964780317
costumier	0.35035744083033055	0.1943382793832808	0.31212240686458503	0.11791779794262951
grutier	0.44586766501209035	0.37387602950791543	0.2947581173264261	0.013200514022838714
guichetier	0.24880156777621618	0.2994906673830439	0.26122985747801974	0.01423548703993038
infirmier	0.40444088773834663	0.4855945039148975	0.4145882999318302	0.07831913762709239
luthier	0.46663751908538365	0.24069172761484775	0.26975647924752505	0.06344456645065316
horloger	0.5176218912155217	0.36925085366908333	0.34847991615859175	0.06857544972046534
potier	0.4283992122123525	0.25802279738882883	0.20810624760893665	0.023855882462396897
romancier	0.3114988739680972	0.3056570635197867	0.38253036585868627	0.08112640734862878
terrassier	0.5532334548363563	0.4769829932054413	0.26418194341986123	0.009470543290372425
charpentier	0.5464769639749786	0.4439059339475402	0.32247606950838287	0.05280783993230124
anecdotier	0.34661060308888014	0.2839796062320032	0.11723664990322051	0.08164737241732875
bistrotier	0.3066435791582346	0.3571736053479576	0.34331473840504345	0.1136240242572378
serrurier	0.487284251734605	0.4412776045985602	0.33282522513562396	0.10993848224831707
