CANDIDATE	-eur ANs	G/P HNs	Rel. HNs	Demonyms
accessoiriste	0.5139144396341324	0.3155822994206211	0.2897996901692106	0.038148544795697924
alchimiste	0.522317298625178	0.36573851492079656	0.35021834827352416	0.01097186222663665
alpiniste	0.5533025300873686	0.3543113134504048	0.2998838048216648	0.1540159066939958
artiste	0.5388933337602784	0.4233826650903353	0.344449513733494	0.010613170875180695
pianiste	0.3321652400649301	0.2444247525498457	0.4081634201615591	0.04789311341087969
chauffagiste	0.30321146165622503	0.1655510220870806	0.09449842269142954	0.08166520067744569
éclairagiste	0.40993197214724236	0.1568390526442718	0.07683262304441188	0.14339132427990037
exorciste	0.4904941982981402	0.4629885076246095	0.37580803444291433	0.05549119560250485
bagagiste	0.33641250305013404	0.26226715031709497	0.2263382415247262	0.021995351181514522
orthophoniste	0.35677158334770287	0.3997488780776545	0.19721809228107406	0.08873645037458838
kayakiste	0.29318639764684135	0.1317746831226143	0.12735574228607416	0.16565899125331857
pigiste	0.30762339874432637	0.19738685832209063	0.1178774052595903	0.07968773458625254
projectionniste	0.43423972882407835	0.34266072417190657	0.24585203199788763	0.14717570753297934
visagiste	0.1792352945237881	0.31500453382650384	0.20699074684582777	0.06344298640504953
urgentiste	0.3455684028923858	0.23919459588231481	0.1501917025042358	0.06671176442013388
cycliste	0.4129206281075829	0.2551484034273416	0.1493346858174601	0.3391868213712125
trapéziste	0.4939773876344599	0.48385900377911295	0.41770843317656015	0.05189464998700388
gréviste	0.33838426715399056	0.38210914426711373	0.1450700925420792	0.06837402525533581
grossiste	0.4475786575991635	0.3244551085587667	0.19344043283888918	0.018241907647071048
ébéniste	0.5363985166664952	0.34086263214062296	0.318094124727384	0.08098591913051996
