CANDIDATE	-eur ANs	G/P HNs	Rel. HNs	Demonyms
médecin	0.5607788029346581	0.5052060875722125	0.4845619826264991	0.02963615320110845
gourou	0.44468771273374424	0.48430133039244644	0.4065758950646908	0.03588645604343351
tribun	0.32544474032103693	0.2945401591367102	0.26570811665676175	0.15288404377203982
bénévole	0.4366370950770052	0.43621164499579035	0.1415467336889939	0.019963943691441405
prophète	0.36516834278759724	0.46597131611448867	0.42621763192714307	0.06586303296485733
poète	0.39438065892082574	0.4003436634008639	0.41683540945930675	0.049548500206439264
diplomate	0.4167354664149981	0.24864245090072562	0.370348828793652	0.013574933131015637
paparazzi	0.3967574946855847	0.4625553941824461	0.29169363448299446	0.03209527396044222
exégète	0.41823692660461764	0.23712575703811897	0.22635229409380306	0.024199405428123582
architecte	0.38686763886576514	0.11870174616897766	0.2451515439165768	0.005225523604758411
tyran	0.4421199597023146	0.4908641054868109	0.43334335589770456	0.23758721039939718
athlète	0.46179143797418093	0.2646466131629506	0.17124282715121392	0.41102745970502597
acrobate	0.5063505854690661	0.47686053771574705	0.35015414937779726	0.06696155823964009
druide	0.4619664758864676	0.5086991788817458	0.37873326478824076	0.1151668776346666
scribe	0.444750144062742	0.3692194966249419	0.2798336068802526	0.0844158122974979
troubadour	0.29128197549117474	0.35865218663188336	0.2894408925541836	0.012356943143840653
numismate	0.4587720688425563	0.17902063801851986	0.14651947530979975	0.041413530556236484
groom	0.3846574076437036	0.39698230864939904	0.32855972603577854	0.01820804387112352
saltimbanque	0.4290193560005978	0.5548380973386464	0.3699686179727374	0.023229868016730472
fakir	0.4864199463165867	0.5059019695988469	0.42637990605099285	0.07380398330188698
