CANDIDATE	-eur ANs	G/P HNs	Rel. HNs	Demonyms
arbitre	0.48271339219952497	0.27385253158169426	0.15238193764088595	0.36690293423132525
coach	0.44199322279083064	0.24977023974577942	0.3674865662014254	0.3096750820814475
flic	0.38769576036050307	0.5425278568819014	0.3199580135281745	0.10499633218573604
devin	0.40042802291873053	0.43338447478575964	0.3839875924473243	0.05287994820655376
goinfre	0.3788504872440933	0.5801005922313706	0.36502989711292166	0.04490863125980964
commère	0.21562344420900326	0.4555557390255731	0.4259810283808282	0.026098052863992343
juge	0.37354932830765025	0.3205610018602968	0.3092359586466013	0.17370090279001288
interprète	0.4781134328731483	0.3556219025689322	0.4966595155141163	0.026779748791139805
maçon	0.38325682032419184	0.29250083675303057	0.2333361425283448	0.035046106818359415
pèlerin	0.3828581308514117	0.45846980462185377	0.25878125077361414	0.07005856305660102
marchand	0.5300545450489146	0.41103244845277886	0.3052384549614063	0.009608961698383763
pilote	0.6007521590247753	0.2294708922988396	0.24553266653930636	0.3947145822280684
rebelle	0.3853510835311656	0.3453058158666366	0.26713996749292535	0.16026965659936263
vagabond	0.4392186165412659	0.6485082894101849	0.4101415908111661	0.010717481970099578
cabotin	0.2132431196830519	0.3617651500387274	0.16529742742114753	0.07144502491830254
calfat	0.4249217027847587	0.3309814957758591	0.21499295667803056	0.021236476018580648
régent	0.28148452461550166	0.2533703058076757	0.5315871140643397	0.21199246419344875
mutin	0.4392906406593834	0.42127451419381384	0.2759673227832884	0.1488224835874828
valet	0.42674825929189364	0.506361493228613	0.5742623444371839	0.12107540261375774
lambin	0.12101012292707869	0.18639032609597686	0.15683491394526447	0.03461975598610257
