VECTOR	ANNOTATION	CLUSTER
NC:allumeuse	B	2
NC:baiseur	B	2
NC:baratineur	B	2
NC:bêcheur	B	2
NC:blasphémateur	B	1
NC:bluffeur	B	2
NC:bouffeur	B	3
NC:bouquineur	B	2
NC:brailleur	B	2
NC:bricoleur	B	3
NC:bûcheur	B	1
NC:buveur	B	3
NC:buveuse	B	2
NC:carotteur	B	2
NC:charmeur	B	3
NC:charmeuse	B	2
NC:chicaneur	B	1
NC:chieur	B	2
NC:chineur	B	3
NC:cogneur	B	2
NC:corrupteur	B	1
NC:démystificateur	B	1
NC:dragueur	B	3
NC:dragueuse	B	2
NC:dribbleur	B	2
NC:embrouilleur	B	2
NC:emmerdeur	B	1
NC:enculeur	B	3
NC:endormeur	B	2
NC:enjôleur	B	2
NC:enquiquineur	B	2
NC:expérimentateur	B	1
NC:feinteur	B	2
NC:flagorneur	B	1
NC:flatteur	B	1
NC:louangeur	B	1
NC:magouilleur	B	3
NC:mangeur	B	3
NC:mateur	B	2
NC:moralisateur	B	1
NC:mordeur	B	3
NC:plaqueur	B	2
NC:pollueur	B	1
NC:pondeuse	B	3
NC:provocateur	B	1
NC:punisseur	B	2
NC:railleur	B	1
NC:séducteur	B	1
NC:sermonneur	B	1
NC:tripoteur	B	2
NC:accusateur	O	1
NC:acquéreur	O	1
NC:agresseur	O	1
NC:baigneur	O	3
NC:campeur	O	3
NC:consolateur	O	1
NC:continuateur	O	1
NC:contradicteur	O	1
NC:créateur	O	1
NC:déchiffreur	O	1
NC:découpeur	O	3
NC:démolisseur	O	3
NC:dénicheur	O	2
NC:dénonciateur	O	1
NC:déterreur	O	2
NC:détrousseur	O	3
NC:dîneur	O	3
NC:empoisonneur	O	1
NC:endosseur	O	2
NC:envahisseur	O	1
NC:escaladeur	O	2
NC:expéditeur	O	1
NC:fécondateur	O	1
NC:fondateur	O	1
NC:fondatrice	O	1
NC:instauratrice	O	1
NC:interpolateur	O	2
NC:kidnappeur	O	1
NC:manieur	O	3
NC:marieur	O	3
NC:modeleur	O	3
NC:narrateur	O	1
NC:offenseur	O	1
NC:ourdisseur	O	3
NC:pagayeur	O	3
NC:persécuteur	O	1
NC:pourchasseur	O	2
NC:promeneur	O	3
NC:ravisseur	O	1
NC:réconciliateur	O	1
NC:reconstructeur	O	1
NC:saboteur	O	1
NC:soupeur	O	2
NC:suborneur	O	3
NC:tourmenteur	O	1
NC:transgresseur	O	1
NC:triomphateur	O	1
NC:vainqueur	O	2
NC:vengeur	O	1
NC:dépeceur	O	3
NC:balayeur	F	3
NC:cadreur	F	3
NC:cardeur	F	3
NC:chausseur	F	3
NC:chercheur	F	1
NC:cireur	F	3
NC:coiffeur	F	3
NC:déménageur	F	3
NC:dépanneur	F	3
NC:éboueur	F	3
NC:éducateur	F	3
NC:éducatrice	F	2
NC:élagueur	F	3
NC:embaumeur	F	3
NC:équarrisseur	F	3
NC:étameur	F	3
NC:foreur	F	3
NC:fouleur	F	3
NC:inspecteur	F	3
NC:instructeur	F	3
NC:masseur	F	3
NC:mouleur	F	3
NC:ouvreur	F	2
NC:ouvreuse	F	3
NC:paveur	F	3
NC:prêcheur	F	1
NC:professeur	F	1
NC:ramoneur	F	3
NC:relieur	F	3
NC:rempailleur	F	3
NC:rétameur	F	3
NC:retoucheur	F	3
NC:rôtisseur	F	3
NC:sauveteur	F	3
NC:sélectionneur	F	2
NC:serveuse	F	3
NC:shampouineur	F	3
NC:soigneur	F	3
NC:soudeur	F	3
NC:talonneur	F	2
NC:tanneur	F	3
NC:vanneur	F	3
NC:vernisseur	F	3
NC:vidangeur	F	3
NC:serviteur	F	1
NC:videur	F	3
NC:scieur	F	3
NC:sonneur	F	3
NC:maquilleur	F	3
NC:fraiseur	F	3
