LEMME	SUFF	FREQR_W18	FREQR_LM	RATIO_FREQR	PAGE_W18	NB_CAT_W18	NB_SYN	NB_DEF_G	NB_DEF_T	NB_DOM_G	NB_DOM_T	LST	NSS
maltage	['age']	9.51351451351351	1.48514951485149	6.40576212588593	0	0	0	1	0	0	0	0	0
aplanissement	['ment']	9.51351451351351	2.97029802970297	3.2028821412459	0	0	2	1	3	0	1	0	0
grognement	['ment']	32.7567577567568	57.4257435742574	0.570419392382771	0	0	12	1	1	0	0	0	0
tutorat	['autre']	44.4324334324324	206.435644564356	0.215236247239176	1	1	0	3	0	0	0	0	0
appropriation	['ion']	196.324325324324	309.90099109901	0.633506606829795	1	0	15	1	9	0	1	0	0
reniement	['ment']	35.8918928918919	179.207921792079	0.200280727174184	0	0	13	1	2	0	0	0	0
intensification	['ification']	128.756757756757	367.326733673267	0.350523787008882	0	0	8	2	0	0	0	0	0
dessalement	['ment']	49.5135145135135	59.4059415940594	0.833477480280607	1	4	0	1	0	0	0	0	0
succession	['ion']	3297.51351451351	4190.09901090099	0.786977469013185	1	0	81	3	13	0	7	0	0
insinuation	['ion']	77.1891901891892	179.70297129703	0.429537639984838	1	2	20	2	5	0	2	0	0
divertissement	['ment']	841.837838837838	946.534654465347	0.889389347623361	1	4	66	6	12	1	5	0	0
remblayage	['age']	9.18919018918919	2.47524852475248	3.71243133661017	0	0	1	1	0	0	0	0	0
diagnostic	['conv']	1280.75675775676	1977.22772377228	0.647753793029591	1	1	0	3	6	2	3	0	0
diabolisation	['isation']	18.7027037027027	117.326733673267	0.159407009103195	1	2	0	1	0	0	0	0	0
connaissance	['autre']	8079.89189289189	7992.07920892079	1.01098746417241	1	3	68	6	24	1	8	1	0
criblage	['age']	22.1621631621622	9.4059415940594	2.35618762252993	0	0	2	2	0	1	0	0	0
controverse	['conv']	1876.000001	1823.26732773267	1.02892207438001	1	1	9	7	2	1	1	0	1
croisure	['autre']	1.62162262162162	1E-06	1621622.62162162	0	0	0	1	5	0	4	0	0
projection	['ion']	1614.7027037027	2247.52475347525	0.718436004411502	1	1	8	8	21	4	19	0	0
classification	['ification']	3471.02702802703	578.712872287129	5.99783967878439	1	7	9	2	1	0	0	1	0
surlignement	['ment']	2.7027037027027	1E-06	2702703.7027027	0	0	0	0	0	0	0	0	0
attente	['autre']	2060.000001	6472.27722872277	0.318280556935679	1	0	33	11	31	0	17	1	0
sortie	['conv']	15359.4594604595	8748.0198029802	1.75576413935722	1	0	72	8	38	3	17	1	0
chauffe	['conv']	121.945946945946	102.970298029703	1.18428274249308	0	0	1	9	5	1	4	0	0
enduction	['ion']	16.6486496486487	5.44554555445545	3.05729691950277	1	4	0	1	1	1	1	0	0
obturation	['ion']	51.8918928918919	10.3960406039604	4.99150540756099	1	0	0	1	7	0	4	0	0
commentaire	['autre']	4901.40540640541	5118.31683268317	0.957620555083134	1	0	31	2	10	0	2	0	0
flottaison	['autre']	98.2702712702703	31.1881198118812	3.15088796192305	0	0	0	2	7	1	5	0	0
gobage	['age']	0.972973972972973	0.99010000990099	0.982702720172955	0	0	0	0	2	0	0	0	0
damage	['age']	95.2432442432432	16.8316841683168	5.65856888061889	1	1	0	1	1	0	0	0	0
encombrement	['ment']	149.297298297297	256.435644564356	0.582201817344581	0	0	20	3	6	2	0	0	0
agglutination	['ion']	36.4324334324324	3.46534753465347	10.5133563280762	1	0	8	2	5	1	3	0	0
abstraction	['ion']	488.756757756757	972.277228722772	0.502692795139109	1	0	19	4	14	0	1	0	0
modulation	['ion']	356.648649648649	417.821783178218	0.853590367969215	1	0	5	4	10	2	6	0	0
balade	['autre']	289.513514513514	461.386139613861	0.627486371298042	1	0	14	7	2	0	0	0	0
