LEMME	FREQR_W18	FREQR_LM	RATIO_FREQR	PAGE_W18	NB_CAT_W18	NB_SYN	NB_DEF_G	NB_DEF_T	NB_DOM_G	NB_DOM_T	LST	NSS
usinage	152.216217216216	56.9306940693069	2.67371089892053	1	1	0	2	1	1	0	0	0
polissage	71.027028027027	28.2178227821782	2.51709809701853	1	3	5	1	3	0	2	0	0
piquage	8.000001	2.97029802970297	2.69333276324464	1	0	0	1	14	1	7	0	0
sablage	15.4594604594595	4.45544654455446	3.46978923545932	1	4	0	1	0	0	0	0	0
pliage	66.2702712702703	39.6039613960396	1.67332430732289	1	2	1	2	6	0	4	0	0
remplissage	326.378379378378	264.851486148515	1.23230714739264	1	0	17	4	20	1	13	0	0
salage	39.7837847837838	11.3861396138614	3.49405383501106	1	0	0	3	11	1	10	0	0
soufflage	51.6756766756757	6.93069406930693	7.45606084454442	1	2	0	4	11	1	9	0	0
sertissage	10.3783793783784	3.96039703960396	2.62054013135416	1	2	1	1	7	1	7	0	0
assemblage	918.702703702703	827.227723772277	1.11058016710717	1	0	110	3	13	1	10	0	0
soudure	168.648649648649	138.613862386139	1.21667953511635	1	0	12	5	13	0	0	0	0
enrobage	35.027028027027	11.8811891188119	2.94810794414236	1	3	1	3	6	0	5	0	0
nettoyage	644.648649648649	1359.90099109901	0.474040870525194	0	0	13	3	7	1	1	0	0
compactage	18.9189199189189	5.94059505940594	3.18468431692949	1	0	0	1	0	0	0	0	0
broyage	85.1891901891892	47.029703970297	1.8113911634016	1	2	1	1	1	0	0	0	0
malaxage	10.4864874864865	4.95049604950495	2.11827004437972	0	0	0	1	0	0	0	0	0
soudage	101.621622621622	14.3564366435644	7.07847115162634	1	2	2	2	2	0	0	0	0
remontage	61.5135145135135	26.7326742673267	2.30106101239174	1	1	1	3	9	1	3	0	0
sciage	44.8648658648649	30.6930703069307	1.46172622732807	1	4	0	1	5	0	1	0	0
gonflage	24.5405415405405	10.8910901089109	2.25326769819505	0	0	1	3	0	2	0	0	0
tamisage	14.4864874864865	2.47524852475248	5.85253858011495	1	5	1	1	0	0	0	0	0
clouage	13.5135145135135	1.48514951485149	9.09909364570938	1	1	2	2	0	1	0	0	0
chargement	600.432433432432	381.683169316832	1.57311739605164	1	0	12	6	7	0	5	0	0
calibrage	27.5675685675676	19.8019811980198	1.39216214235797	0	0	0	3	4	1	1	0	0
formage	13.4054064054054	1.48514951485149	9.02630090193037	0	0	0	1	0	0	0	0	0
brossage	29.5135145135135	14.3564366435644	2.05576879878084	1	0	0	1	2	0	1	0	0
cintrage	12.000001	1E-06	12000001	1	1	1	1	0	1	0	0	0
lavage	266.162163162162	158.415842584158	1.68014864435521	1	0	24	5	9	3	4	0	0
trempage	27.8918928918919	8.91089208910891	3.13008985104667	1	2	0	1	8	1	5	0	0
serrage	56.5405415405405	25.2475257524752	2.23944881153344	0	0	1	1	8	1	6	0	0
appareillage	170.378379378378	185.148515851485	0.920225466538687	1	5	5	7	3	4	3	0	0
raclage	9.2972982972973	2.47524852475248	3.75610699464088	0	0	1	1	2	0	1	0	0
forgeage	25.2972982972973	1.48514951485149	17.0335027176217	1	1	0	1	1	0	1	0	0
foulage	25.9459469459459	4.45544654455446	5.82342234083308	1	3	6	7	7	4	7	0	0
aiguisage	8.97297397297297	0.495050504950495	18.1253708121564	1	1	3	1	1	0	0	0	0
soutirage	25.2972982972973	1.48514951485149	17.0335027176217	1	3	0	1	8	0	7	0	0
martelage	20.6486496486487	8.91089208910891	2.31723708941396	0	0	0	1	7	1	3	0	0
utilisation	12124.5405415405	5937.62376337624	2.04198531680733	0	0	7	1	1	0	0	1	0
agrafage	7.45946045945946	0.99010000990099	7.53404745466613	0	0	0	1	3	0	3	0	0
roulage	84.8648658648649	15.8415851584158	5.35709431955302	1	2	2	6	18	3	15	0	0
arrosage	124.324325324324	134.653466346535	0.923290938566498	1	1	24	4	10	3	4	0	0
marquage	351.891892891892	143.069307930693	2.459590376032	0	0	0	4	8	1	5	0	0
vidage	14.0540550540541	10.3960406039604	1.35186611801998	0	0	0	2	4	0	2	0	0
grattage	37.6216226216216	40.0990109009901	0.938218219758949	1	0	1	3	3	0	1	0	0
remuage	7.13513613513514	4.95049604950495	1.44129720815526	1	3	1	2	4	0	4	0	0
laminage	37.1891901891892	45.5445554554455	0.816545244921095	1	1	7	1	5	1	4	0	0
