LEMME	FREQR_W18	FREQR_LM	RATIO_FREQR	PAGE_W18	NB_CAT_W18	NB_SYN	NB_DEF_G	NB_DEF_T	NB_DOM_G	NB_DOM_T	LST	NSS
manipulation	1041.18919018919	2122.27722872277	0.490599991413844	1	1	10	3	10	0	6	1	0
simplification	330.486487486487	724.752476247525	0.455999114618569	1	0	3	1	4	0	0	0	0
stimulation	263.567568567568	263.366337633663	1.00076407234012	1	2	1	2	1	1	0	0	0
contamination	448.864865864865	1585.14851585149	0.283168965794824	1	0	10	5	8	3	4	0	0
dispersion	537.189190189189	652.475248524752	0.823309683246644	1	0	30	1	18	0	10	0	0
transformation	3446.48648748649	3680.69307030693	0.936368890764121	1	0	44	5	42	3	37	1	0
utilisation	12124.5405415405	5937.62376337624	2.04198531680733	0	0	7	1	1	0	0	1	0
perception	1281.51351451351	1430.19802080198	0.89603921685957	1	3	34	6	10	2	5	1	0
fixation	564.864865864865	616.336634663366	0.916487572044757	1	0	19	4	11	0	7	0	0
assimilation	347.459460459459	442.574258425743	0.78508736973404	1	2	44	6	14	2	10	0	0
saisie	418.810811810811	932.178218821782	0.449281911285336	1	0	11	5	18	2	12	0	0
conversion	1601.51351451351	1289.10891189109	1.24234151183094	1	0	41	7	46	3	22	1	0
activation	415.675676675676	105.445545554455	3.94208853953918	1	0	0	3	3	2	2	0	0
transmission	2656.43243343243	3039.10891189109	0.87408267042969	1	0	42	3	29	3	27	0	0
redistribution	177.405406405405	846.039604960396	0.209689245474164	1	0	1	1	3	0	1	0	0
modification	6407.24324424324	4501.9801990198	1.42320555866467	1	1	50	3	4	1	2	1	0
multiplication	780.000001	2222.27722872277	0.350991312388282	1	3	18	4	13	2	6	0	0
ponction	68.2162172162162	306.435644564356	0.22261188744278	1	0	2	4	4	1	2	0	0
traitement	6733.18919018919	8388.11881288119	0.802705510066141	1	0	56	10	14	8	7	1	0
cristallisation	118.486487486486	101.980199019802	1.16185777852306	1	0	0	5	4	1	2	0	0
centralisation	168.324325324324	246.039604960396	0.684135082038596	1	0	6	2	1	1	0	0	0
dissociation	104.108109108108	139.108911891089	0.748392807425711	1	1	9	4	7	2	3	0	0
acceptation	481.837838837838	1046.53465446535	0.460412693246168	1	1	7	3	10	1	5	0	0
propagation	659.783784783784	397.029703970297	1.66179955349926	1	0	42	3	5	1	2	0	0
analyse	7043.13513613514	9383.16831783168	0.750613747677363	1	0	35	15	19	7	10	1	1
constatation	167.567568567568	726.732674267327	0.230576626730737	0	0	11	1	3	0	0	0	0
duplication	112.000001	73.2673277326733	1.52864864143331	1	0	0	2	6	2	4	0	0
quantification	126.27027127027	22.7722782277228	5.54491166880922	1	0	1	1	4	0	3	0	0
vaporisation	51.3513523513513	13.8613871386139	3.70463300951325	1	1	13	1	2	0	1	0	0
limitation	800.972973972973	1490.59406040594	0.53735151323147	0	0	13	1	2	0	0	1	0
coupure	564.324325324324	1118.81188218812	0.504396077936396	1	0	45	7	16	4	0	0	0
inhibition	179.675676675676	151.485149514851	1.18609432839528	1	0	4	2	6	0	6	0	0
sublimation	68.2162172162162	54.9504960495049	1.24141221864058	1	0	6	2	4	2	3	0	0
application	7820.75675775676	9325.24752575248	0.838664789986439	1	1	57	10	13	5	6	1	0
hydratation	46.0540550540541	7.92079307920792	5.81432371651595	1	0	0	1	2	1	0	0	0
dessiccation	40.2162172162162	5.94059505940594	6.76972875849205	1	6	8	2	0	1	0	0	0
normalisation	365.72973072973	1157.92079307921	0.315850387103906	1	0	15	3	3	3	2	0	0
neutralisation	164.864865864865	150.990100009901	1.0918918912833	1	1	2	4	10	3	7	0	0
transposition	277.081082081081	497.524753475248	0.556919188735131	1	0	19	6	26	3	17	0	0
purification	226.594595594595	649.009901990099	0.349138888173776	1	0	23	5	13	3	5	0	0
identification	1507.89189289189	1215.34653565347	1.24070941797775	1	1	3	1	6	1	2	1	0
distorsion	234.810811810811	559.90099109901	0.41937916800238	1	1	6	3	6	2	4	0	0
fragmentation	285.837838837838	291.584159415842	0.980292754621802	1	0	6	1	1	0	0	0	0
consultation	1322.05405505405	5042.57425842574	0.26217840081284	1	2	16	5	15	0	6	0	0
dilatation	195.891892891892	65.3465356534654	2.99773952716809	1	0	19	4	7	1	3	0	0
consommation	3345.18919018919	9440.09901090099	0.354359544992729	1	2	16	4	15	0	11	0	0
digestion	169.837838837838	90.5940604059406	1.87471273587712	1	1	14	2	10	2	2	0	0
succion	26.5945955945946	9.4059415940594	2.82742512577275	0	0	0	1	4	1	2	0	0
perturbation	550.810811810811	700.49505050495	0.786316493476663	1	0	26	5	9	4	6	0	0
coagulation	102.162163162162	59.9009910990099	1.70551707555722	1	1	5	1	2	3	0	0	0
