LEMME	FREQR_W18	FREQR_LM	RATIO_FREQR	PAGE_W18	NB_CAT_W18	NB_SYN	NB_DEF_G	NB_DEF_T	NB_DOM_G	NB_DOM_T	LST	NSS
durcissement	107.351352351351	771.287129712871	0.139184680018342	1	0	6	2	6	1	2	0	0
ajustement	326.918919918919	1596.53465446535	0.204767819479871	1	0	37	4	11	0	7	1	0
traitement	6733.18919018919	8388.11881288119	0.802705510066141	1	0	56	10	14	8	7	1	0
adoucissement	26.1621631621622	27.7227732772277	0.943706565737148	0	0	32	4	12	0	10	0	0
utilisation	12124.5405415405	5937.62376337624	2.04198531680733	0	0	7	1	1	0	0	1	0
enfoncement	47.6756766756757	26.2376247623762	1.81707289083731	0	0	18	4	8	0	2	0	0
affaiblissement	240.648649648649	848.019802980198	0.283777158036801	0	0	47	3	11	2	6	1	0
endommagement	27.6756766756757	2.97029802970297	9.317474677261	1	2	3	1	0	0	0	0	0
allongement	230.054055054054	630.693070306931	0.364763885771088	1	0	35	3	18	0	12	1	0
tassement	65.2972982972973	354.455446544554	0.184218634341367	0	0	11	1	10	0	4	0	0
encombrement	149.297298297297	256.435644564356	0.582201817344581	0	0	20	3	6	2	0	0	0
abaissement	133.72973072973	662.871288128713	0.20174313343281	0	0	82	10	3	1	1	0	0
usure	371.459460459459	664.356436643564	0.559126757823154	1	0	24	7	0	0	0	0	0
remplissage	326.378379378378	264.851486148515	1.23230714739264	1	0	17	4	20	1	13	0	0
effritement	12.6486496486486	200.990100009901	0.0629317048353405	0	0	4	1	3	0	1	0	0
isolement	607.675676675676	1842.07920892079	0.329885747438456	1	1	34	4	3	2	2	1	0
gonflement	86.1621631621622	259.90099109901	0.331519178891236	0	0	60	2	4	0	0	0	0
retournement	252.324325324324	1127.72277327723	0.223746767648449	1	1	11	1	7	0	2	0	0
colmatage	30.4864874864865	26.7326742673267	1.14042041516766	1	1	3	2	4	1	2	0	0
arrachement	49.1891901891892	75.2475257524752	0.653698439879548	0	0	32	2	7	1	4	0	0
basculement	117.081082081081	377.227723772277	0.310372421491905	1	0	1	4	2	0	0	0	0
accumulation	575.027028027027	1022.77227822772	0.562223908750679	1	0	43	5	19	4	18	0	0
balancement	46.7027037027027	145.049505950495	0.321977682010459	0	0	52	12	15	6	7	0	0
amincissement	18.7027037027027	14.8514861485148	1.25931529785475	0	0	4	1	1	0	0	0	0
passage	12232.7567577568	13504.4554465446	0.905831175953623	1	0	107	22	0	7	0	1	0
activation	415.675676675676	105.445545554455	3.94208853953918	1	0	0	3	3	2	2	0	0
renforcement	745.945946945946	3157.42574357426	0.236251303285291	1	2	6	1	9	0	5	0	0
appauvrissement	79.3513523513514	228.712872287129	0.346947469802805	0	0	21	1	6	0	0	0	0
encrassement	15.8918928918919	4.45544654455446	3.56684627073246	0	0	1	1	2	0	0	0	0
apport	1760.54054154054	2232.17821882178	0.788709667846241	1	0	34	5	14	3	7	1	1
enrichissement	396.756757756757	845.544555455446	0.469232230515691	1	0	3	3	9	0	3	0	0
glissement	410.702703702703	1150.49505050495	0.356979113923564	1	0	13	1	6	0	3	0	0
ralentissement	249.405406405405	2619.30693169307	0.0952180912391945	1	0	12	2	6	0	1	0	0
envahissement	63.3513523513513	99.009901990099	0.639848652286177	0	0	17	1	13	0	0	0	0
pourrissement	28.000001	143.564357435644	0.195034488365622	0	0	11	2	4	0	0	0	0
frottement	269.405406405405	111.386139613861	2.41866184912543	1	1	13	3	8	1	4	0	0
nettoyage	644.648649648649	1359.90099109901	0.474040870525194	0	0	13	3	7	1	1	0	0
lessivage	39.3513523513513	23.2673277326733	1.69127081560346	1	2	13	1	11	0	7	0	0
arrachage	55.2432442432432	71.2871297128713	0.774939943097033	0	0	8	1	3	0	3	0	0
changement	7542.81081181081	12868.3168326832	0.586153644636216	1	1	144	5	17	0	11	1	1
placement	569.837838837838	3307.92079307921	0.172264656405935	1	1	11	4	15	1	8	0	0
positionnement	517.513514513514	377.722773277228	1.3700881999341	1	3	0	2	6	1	6	0	0
absorption	624.972973972973	416.336634663366	1.50112414315474	1	0	11	3	3	2	1	0	0
serrage	56.5405415405405	25.2475257524752	2.23944881153344	0	0	1	1	8	1	6	0	0
endormissement	25.9459469459459	41.5841594158416	0.623938232981614	0	0	0	1	0	0	0	0	0
emballement	40.972973972973	241.584159415842	0.169601244022153	0	0	14	3	5	0	0	0	0
assouplissement	70.9189199189189	1096.0396049604	0.0647047055580455	0	0	6	2	3	1	1	0	0
assimilation	347.459460459459	442.574258425743	0.78508736973404	1	2	44	6	14	2	10	0	0
cloisonnement	45.9459469459459	182.178218821782	0.252203294351522	0	0	0	2	4	0	2	0	0
refoulement	70.5945955945946	161.386139613861	0.437426632568955	1	1	1	2	11	0	6	0	0
pincement	25.7297307297297	56.9306940693069	0.451948305748856	1	0	5	2	4	1	2	0	0
clouage	13.5135145135135	1.48514951485149	9.09909364570938	1	1	2	2	0	1	0	0	0
