LEMME	SUFF	FREQR_W18	FREQR_LM	RATIO_FREQR	PAGE_W18	NB_CAT_W18	NB_SYN	NB_DEF_G	NB_DEF_T	NB_DOM_G	NB_DOM_T	LST	NSS
soufflage	51.6756766756757	6.93069406930693	7.45606084454442	1	2	0	4	11	1	9	0	0	
soudure	168.648649648649	138.613862386139	1.21667953511635	1	0	12	5	13	0	0	0	0	
usinage	152.216217216216	56.9306940693069	2.67371089892053	1	1	0	2	1	1	0	0	0	
distillation	288.000001	63.3663376336634	4.54499994405547	1	3	2	2	2	2	2	0	0	
forgeage	25.2972982972973	1.48514951485149	17.0335027176217	1	1	0	1	1	0	1	0	0	
soudage	101.621622621622	14.3564366435644	7.07847115162634	1	2	2	2	2	0	0	0	0	
broyage	85.1891901891892	47.029703970297	1.8113911634016	1	2	1	1	1	0	0	0	0	
polissage	71.027028027027	28.2178227821782	2.51709809701853	1	3	5	1	3	0	2	0	0	
centrifugation	40.2162172162162	8.91089208910891	4.51315275889934	1	3	0	1	0	0	0	0	0	
filage	49.1891901891892	20.7920802079208	2.36576570007894	1	1	1	2	9	2	4	0	0	
concassage	16.5405415405405	12.3762386237624	1.33647564848844	1	4	2	1	1	0	0	0	0	
piquage	8.000001	2.97029802970297	2.69333276324464	1	0	0	1	14	1	7	0	0	
tamisage	14.4864874864865	2.47524852475248	5.85253858011495	1	5	1	1	0	0	0	0	0	
fabrication	3842.91891991892	3584.65346634653	1.07204753709027	1	1	15	4	11	0	8	0	0	
malaxage	10.4864874864865	4.95049604950495	2.11827004437972	0	0	0	1	0	0	0	0	0	
filtration	163.783784783784	93.5643574356436	1.7504933424722	1	2	3	4	6	2	2	0	0	
sertissage	10.3783793783784	3.96039703960396	2.62054013135416	1	2	1	1	7	1	7	0	0	
sciage	44.8648658648649	30.6930703069307	1.46172622732807	1	4	0	1	5	0	1	0	0	
formage	13.4054064054054	1.48514951485149	9.02630090193037	0	0	0	1	0	0	0	0	0	
flottation	13.4054064054054	1E-06	13405406.4054054	1	7	1	3	1	2	1	0	0	
cintrage	12.000001	1E-06	12000001	1	1	1	1	0	1	0	0	0	
calcination	40.4324334324324	3.96039703960396	10.2091868638695	1	3	1	1	5	1	1	0	0	
compactage	18.9189199189189	5.94059505940594	3.18468431692949	1	0	0	1	0	0	0	0	0	
extraction	1438.48648748649	370.792080207921	3.87949625752486	1	0	27	3	11	1	2	0	0	
martelage	20.6486496486487	8.91089208910891	2.31723708941396	0	0	0	1	7	1	3	0	0	
carbonisation	17.4054064054054	6.43564456435644	2.70453195967418	1	4	1	1	3	1	1	0	0	
salage	39.7837847837838	11.3861396138614	3.49405383501106	1	0	0	3	11	1	10	0	0	
estampage	25.4054064054054	5.44554555445545	4.66535559226369	1	1	0	3	2	0	1	0	0	
foulage	25.9459469459459	4.45544654455446	5.82342234083308	1	3	6	7	7	4	7	0	0	
sablage	15.4594604594595	4.45544654455446	3.46978923545932	1	4	0	1	0	0	0	0	0	
laminage	37.1891901891892	45.5445554554455	0.816545244921095	1	1	7	1	5	1	4	0	0	
frittage	22.0540550540541	2.47524852475248	8.90983464226464	1	3	0	1	2	0	2	0	0	
pliage	66.2702712702703	39.6039613960396	1.67332430732289	1	2	1	2	6	0	4	0	0	
assemblage	918.702703702703	827.227723772277	1.11058016710717	1	0	110	3	13	1	10	0	0	
vinification	232.324325324324	80.6930703069307	2.87911123521062	1	1	1	2	6	0	0	0	0	
puddlage	12.5405415405405	1E-06	12540541.5405405	1	2	0	2	1	2	1	0	0	
enrobage	35.027028027027	11.8811891188119	2.94810794414236	1	3	1	3	6	0	5	0	0	
trituration	13.6216226216216	18.3168326831683	0.743666924147797	1	3	0	3	6	1	2	0	0	
raclage	9.2972982972973	2.47524852475248	3.75610699464088	0	0	1	1	2	0	1	0	0	
pasteurisation	30.7027037027027	15.3465356534653	2.0006276592965	1	5	1	1	0	1	0	0	0	
fixation	564.864865864865	616.336634663366	0.916487572044757	1	0	19	4	11	0	7	0	0	
rivetage	15.4594604594595	1.98019901980198	7.80702358948011	1	1	0	1	0	1	0	0	0	
vulcanisation	19.4594604594595	2.97029802970297	6.55134948239703	1	2	0	1	1	0	1	0	0	
chaulage	12.4324334324324	1.48514951485149	8.37116620791926	1	2	2	1	0	1	0	0	0	
lubrification	67.8918928918919	8.41584258415842	8.06715337329246	1	2	2	1	1	0	0	0	0	
cuisson	569.513514513513	381.683169316832	1.49211063074349	1	1	8	2	7	0	0	0	0	
trempage	27.8918928918919	8.91089208910891	3.13008985104667	1	2	0	1	8	1	5	0	0	
argenture	6.16216316216216	1.48514951485149	4.14918706873656	1	3	5	2	4	0	4	0	0	
vitrification	22.5945955945946	24.7524762475248	0.912821625143628	1	2	0	2	6	1	3	0	0	
utilisation	12124.5405415405	5937.62376337624	2.04198531680733	0	0	7	1	1	0	0	1	0	
cardage	11.3513523513514	0.495050504950495	22.9296854317652	1	3	0	1	0	0	0	0	0	
transformation	3446.48648748649	3680.69307030693	0.936368890764121	1	0	44	5	42	3	37	1	0	
rabotage	7.13513613513514	3.96039703960396	1.80162141921221	1	2	0	1	0	0	0	0	0	
embossage	8.43243343243243	1E-06	8432433.43243243	1	4	0	2	0	2	0	0	0	
fumage	30.7027037027027	6.43564456435644	4.77072706481468	1	2	1	3	0	0	0	0	0	
galvanisation	17.5135145135135	3.96039703960396	4.42216129806643	1	2	2	2	2	1	2	0	0	
fertilisation	59.8918928918919	35.1485158514851	1.70396648168464	1	1	14	2	1	1	0	0	0	
